date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:27:27	50497/50497	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:20%20GMT	http://altair_html.tzdthemes.com/kendoui_calendar.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/kendoui_calendar.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:27	53128/53128	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:20%20GMT	http://altair_html.tzdthemes.com/kendoui_colorpicker.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/kendoui_colorpicker.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:27	55125/55125	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:20%20GMT	http://altair_html.tzdthemes.com/kendoui_combobox.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/kendoui_combobox.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:28	51351/51351	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:20%20GMT	http://altair_html.tzdthemes.com/kendoui_datepicker.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/kendoui_datepicker.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:28	52905/52905	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:20%20GMT	http://altair_html.tzdthemes.com/kendoui_datetimepicker.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/kendoui_datetimepicker.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:28	51914/51914	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:20%20GMT	http://altair_html.tzdthemes.com/kendoui_dropdown_list.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/kendoui_dropdown_list.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:29	52002/52002	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:20%20GMT	http://altair_html.tzdthemes.com/kendoui_masked_input.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/kendoui_masked_input.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:29	58291/58291	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:20%20GMT	http://altair_html.tzdthemes.com/kendoui_menu.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/kendoui_menu.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:30	53921/53921	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:20%20GMT	http://altair_html.tzdthemes.com/kendoui_multiselect.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/kendoui_multiselect.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:30	52025/52025	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:20%20GMT	http://altair_html.tzdthemes.com/kendoui_numeric_textbox.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/kendoui_numeric_textbox.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:30	52529/52529	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:20%20GMT	http://altair_html.tzdthemes.com/kendoui_panelbar.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/kendoui_panelbar.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:31	52410/52410	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:20%20GMT	http://altair_html.tzdthemes.com/kendoui_timepicker.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/kendoui_timepicker.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:31	52495/52495	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:20%20GMT	http://altair_html.tzdthemes.com/kendoui_toolbar.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/kendoui_toolbar.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:31	52061/52061	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:20%20GMT	http://altair_html.tzdthemes.com/kendoui_window.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/kendoui_window.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:32	57518/57518	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:16%20GMT	http://altair_html.tzdthemes.com/components_animations.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_animations.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:32	51284/51284	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:16%20GMT	http://altair_html.tzdthemes.com/components_autocomplete.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_autocomplete.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:32	58686/58686	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:16%20GMT	http://altair_html.tzdthemes.com/components_breadcrumbs.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_breadcrumbs.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:33	57481/57481	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:17%20GMT	http://altair_html.tzdthemes.com/components_fab.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_fab.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:34	89595/89595	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:17%20GMT	http://altair_html.tzdthemes.com/components_cards.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_cards.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:34	134838/134838	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:17%20GMT	http://altair_html.tzdthemes.com/components_colors.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_colors.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:34	56788/56788	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:17%20GMT	http://altair_html.tzdthemes.com/components_common.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_common.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:35	73524/73524	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:17%20GMT	http://altair_html.tzdthemes.com/components_dropdowns.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_dropdowns.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:35	60491/60491	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:17%20GMT	http://altair_html.tzdthemes.com/components_dynamic_grid.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_dynamic_grid.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:35	54130/54130	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:17%20GMT	http://altair_html.tzdthemes.com/components_footer.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_footer.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:36	62667/62667	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:17%20GMT	http://altair_html.tzdthemes.com/components_grid.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_grid.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:36	85451/85451	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:17%20GMT	http://altair_html.tzdthemes.com/components_icons.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_icons.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:37	75723/75723	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:17%20GMT	http://altair_html.tzdthemes.com/components_modal.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_modal.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:38	76413/76413	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:17%20GMT	http://altair_html.tzdthemes.com/components_list_grid_view.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_list_grid_view.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:38	59630/59630	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:17%20GMT	http://altair_html.tzdthemes.com/components_lists.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_lists.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:38	58602/58602	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:17%20GMT	http://altair_html.tzdthemes.com/components_nestable.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_nestable.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:38	58264/58264	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:18%20GMT	http://altair_html.tzdthemes.com/components_panels.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_panels.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:39	55880/55880	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:18%20GMT	http://altair_html.tzdthemes.com/components_preloaders.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_preloaders.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:39	79784/79784	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:18%20GMT	http://altair_html.tzdthemes.com/components_scroll_top.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_scroll_top.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:40	65718/65718	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:18%20GMT	http://altair_html.tzdthemes.com/components_slider.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_slider.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:40	57787/57787	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:18%20GMT	http://altair_html.tzdthemes.com/components_slideshow.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_slideshow.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:40	58008/58008	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:18%20GMT	http://altair_html.tzdthemes.com/components_switcher.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_switcher.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:40	58873/58873	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:18%20GMT	http://altair_html.tzdthemes.com/components_tables.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_tables.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:41	104458/104458	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:18%20GMT	http://altair_html.tzdthemes.com/components_tables_examples.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_tables_examples.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:41	64089/64089	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:18%20GMT	http://altair_html.tzdthemes.com/components_timeline.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_timeline.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:42	52484/52484	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:19%20GMT	http://altair_html.tzdthemes.com/components_tooltips.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_tooltips.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:42	55790/55790	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:19%20GMT	http://altair_html.tzdthemes.com/components_typography.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_typography.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:42	63210/63210	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:19%20GMT	http://altair_html.tzdthemes.com/ecommerce_product_details.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/ecommerce_product_details.html	(from http://altair_html.tzdthemes.com/index.html)
